Temp:	U:
-1.86032960E-03	0.900E-6
-1.85540976E-03	0.930E-6
-1.85880528E-03	0.920E-6
-1.85181856E-03	0.915E-6
-1.83628144E-03	0.893E-6
-1.82575088E-03	0.903E-6
-1.82614912E-03	0.915E-6
-1.82532304E-03	0.925E-6
-1.81119024E-03	0.865E-6
-1.79886240E-03	0.918E-6
-1.79682304E-03	0.918E-6
-1.79798240E-03	0.908E-6
-1.78964336E-03	0.908E-6
-1.77123664E-03	0.908E-6
-1.76618288E-03	0.933E-6
-1.76841296E-03	0.938E-6
-1.76288464E-03	0.893E-6
-1.74484064E-03	0.915E-6
-1.75148432E-03	0.918E-6
-1.73866096E-03	0.908E-6
-1.73153536E-03	0.913E-6
-1.72317840E-03	0.865E-6
-1.72207616E-03	0.938E-6
-1.70677056E-03	0.918E-6
-1.70861536E-03	0.925E-6
-1.69981616E-03	0.895E-6
-1.68568656E-03	0.880E-6
-1.67921024E-03	0.928E-6
-1.68099872E-03	0.925E-6
-1.67523824E-03	0.915E-6
-1.66271664E-03	0.913E-6
-1.65080320E-03	0.913E-6
-1.65081152E-03	0.928E-6
-1.65110176E-03	0.940E-6
-1.63743024E-03	0.893E-6
-1.62418832E-03	0.925E-6
-1.61965792E-03	0.933E-6
-1.61132592E-03	0.925E-6
-1.61128304E-03	0.933E-6
-1.61189888E-03	0.930E-6
-1.59979440E-03	0.883E-6
-1.58476160E-03	0.938E-6
-1.58051168E-03	0.930E-6
-1.57527920E-03	0.908E-6
-1.56463088E-03	0.913E-6
-1.56043808E-03	0.895E-6
-1.55283488E-03	0.930E-6
-1.55228448E-03	0.930E-6
-1.55418336E-03	0.925E-6
-1.53800624E-03	0.900E-6
-1.52655936E-03	0.933E-6
-1.52323184E-03	0.940E-6
-1.52805168E-03	0.953E-6
-1.51991088E-03	0.905E-6
-1.50277232E-03	0.920E-6
-1.49746080E-03	0.933E-6
-1.49844720E-03	0.925E-6
-1.49693600E-03	0.958E-6
-1.48344496E-03	0.895E-6
-1.46931200E-03	0.925E-6
-1.46764816E-03	0.958E-6
-1.47188480E-03	0.928E-6
-1.46261216E-03	0.925E-6
-1.44501824E-03	0.933E-6
-1.45174176E-03	0.918E-6
-1.44518304E-03	0.920E-6
-1.43846368E-03	0.925E-6
-1.42231792E-03	0.908E-6
-1.41216160E-03	0.918E-6
-1.41518096E-03	0.928E-6
-1.40459744E-03	0.933E-6
-1.40253632E-03	0.918E-6
-1.38756368E-03	0.915E-6
-1.38616848E-03	0.940E-6
-1.38942368E-03	0.920E-6
-1.38077120E-03	0.905E-6
-1.37652912E-03	0.965E-6
-1.36397968E-03	0.893E-6
-1.34964096E-03	0.928E-6
-1.34551872E-03	0.930E-6
-1.34777504E-03	0.930E-6
-1.34351184E-03	0.953E-6
-1.33042840E-03	0.893E-6
-1.31946144E-03	0.933E-6
